alg,problema,delta_med,taxa_vit,n_pares,p_wilcoxon_proposta
EIM,WFG4,-0.2489836125260397,0.0,23,2.384185791015625e-07
EIM,WFG5,0.4672874408393132,1.0,24,1.1920928955078125e-07
EIM,WFG9,-0.2265876834697955,0.13043478260869565,23,1.6689300537109375e-05
EIM,ZDT1,5.05715722915014,0.9130434782608695,23,
EIM,ZDT3,1.916886366560114,1.0,23,2.384185791015625e-07
EIM,ZDT4,,0.0,29,
EIM,ZDT6,,0.0,27,
qNEHVI,BBOB_F1,0.3325433211081874,1.0,27,1.4901161193847656e-08
qNEHVI,BBOB_F17,-0.01505058352128607,0.07407407407407407,27,6.660819053649902e-06
qNEHVI,BBOB_F22,0.5388531051805486,1.0,27,1.4901161193847656e-08
qNEHVI,BBOB_F37,0.21623116083886204,0.8888888888888888,27,6.407499313354492e-07
qNEHVI,BBOB_F49,0.11307563486567956,0.7407407407407407,27,0.008888542652130127
qNEHVI,BBOB_F5,0.5189158849049461,1.0,27,1.4901161193847656e-08
qNEHVI,BBOB_F55,2.0120555740529102,0.9629629629629629,27,2.086162567138672e-07
qNEHVI,DDMOP7,0.0,0.36666666666666664,30,0.7942919035315956
qNEHVI,DTLZ1,,0.0,30,
qNEHVI,DTLZ2,0.8117817182020965,1.0,27,1.4901161193847656e-08
qNEHVI,DTLZ3,,0.0,27,
qNEHVI,DTLZ4,-0.21270412322034807,0.4074074074074074,27,0.5780609846115112
qNEHVI,MMF1,0.06129342416927394,0.9,30,2.0489096641540527e-07
qNEHVI,MMF11_L,0.07696403927738879,1.0,30,1.862645149230957e-09
qNEHVI,MMF4,0.07557278909880805,1.0,30,1.862645149230957e-09
qNEHVI,RE21,0.12323119802052002,1.0,30,1.862645149230957e-09
qNEHVI,WFG2,0.16338984438451215,1.0,27,1.4901161193847656e-08
qNEHVI,WFG4,-0.12847949728240837,0.0,27,1.4901161193847656e-08
qNEHVI,WFG5,0.2966143348720375,1.0,26,2.9802322387695312e-08
qNEHVI,WFG9,-0.19626026568778043,0.18518518518518517,27,1.5929341316223145e-05
qNEHVI,ZDT1,6.761885679230727,0.6363636363636364,11,
qNEHVI,ZDT4,,0.0,27,
qNEHVI,ZDT6,,0.0,26,
EDN-ARMOEA,BBOB_F1,0.17762019211781838,0.9629629629629629,27,2.9802322387695312e-08
EDN-ARMOEA,BBOB_F17,0.00374139214618682,0.6071428571428571,28,0.7792982533574104
EDN-ARMOEA,BBOB_F22,0.2891857349019299,0.9285714285714286,28,1.4156103134155273e-07
EDN-ARMOEA,BBOB_F37,0.26941686921082403,1.0,28,7.450580596923828e-09
EDN-ARMOEA,BBOB_F49,0.3089177351567964,0.9642857142857143,28,7.450580596923828e-08
EDN-ARMOEA,BBOB_F5,0.3294257535692243,1.0,28,7.450580596923828e-09
EDN-ARMOEA,BBOB_F55,2.296566805017503,0.9285714285714286,28,5.21540641784668e-08
EDN-ARMOEA,DDMOP7,-0.049241450653033696,0.23333333333333334,30,0.00010565052374992671
EDN-ARMOEA,DTLZ1,,0.0,27,
EDN-ARMOEA,DTLZ2,0.5017521006128424,0.9285714285714286,28,7.450580596923828e-08
EDN-ARMOEA,DTLZ3,,0.0,27,
EDN-ARMOEA,DTLZ4,0.37717349798328115,0.75,28,0.0007921457290649414
EDN-ARMOEA,DTLZ7,11.709433585192556,0.125,24,
EDN-ARMOEA,MMF1,-0.008704743756491287,0.36666666666666664,30,0.15794767439365387
EDN-ARMOEA,MMF11_L,0.0010406405385115175,0.5,30,0.5978077705949545
