prob,ger,obj,noise,outsc,sigma,cob,wape
BBOB_F1,198,1,0.0001,2.3534205524469427,3.1632308959960938,0.9975,0.01665389210134882
BBOB_F1,200,0,0.0001,1.9042238799205484,3.357835292816162,0.9935,0.018370680971338833
BBOB_F1,200,1,0.0001,1.790419353110191,3.2362072467803955,0.998,0.015765739041256062
BBOB_F1,201,0,0.0001,1.6353111384195593,3.257802963256836,0.995,0.016125690465954832
BBOB_F1,201,1,0.0001,2.0708378088260266,3.3569631576538086,0.997,0.018308912415633215
BBOB_F17,1,0,0.0004572035504528942,0.12148756226392778,1749570.625,0.9945,0.032907467117205
BBOB_F17,1,1,0.004501917362056732,0.6751724345891874,86.68821716308594,0.9335,0.38661730596996985
BBOB_F17,2,0,0.00045312192765941154,0.12195639895996269,1731920.75,0.994,0.03342256697036273
BBOB_F17,2,1,0.00450898940262941,0.6758759867738124,86.31631469726562,0.9335,0.3858616894590883
BBOB_F17,4,0,0.00042747463571730514,0.1209684365023972,1673481.0,0.9935,0.03194540194451917
BBOB_F17,4,1,0.004455909960819745,0.6778870551443181,84.79480743408203,0.931,0.3852772908617429
BBOB_F17,6,0,0.0003961817357026132,0.11938209857714815,1620889.25,0.9935,0.0313318646182269
BBOB_F17,6,1,0.004392272991657022,0.6792610309485301,83.24053192138672,0.9275,0.3842005792394243
BBOB_F17,8,0,0.0003842390965136465,0.1174417775454645,1589149.0,0.9935,0.029960087870551363
BBOB_F17,8,1,0.004322872142283528,0.6805250584374529,81.94464111328125,0.9265,0.3823542735084143
BBOB_F17,10,0,0.00035554795795443377,0.11629916152477117,1519688.875,0.993,0.028861473762420292
BBOB_F17,10,1,0.004292089032912348,0.6850629793295905,80.74502563476562,0.9245,0.38006631169683086
BBOB_F17,12,0,0.0003351226497790656,0.1152710339137737,1478703.125,0.993,0.028368348131868597
BBOB_F17,12,1,0.004230803771362529,0.6905770395856909,79.22832489013672,0.922,0.3786358254211728
BBOB_F17,14,0,0.0003138296976766611,0.11402078081892544,1436755.625,0.993,0.027687514149966026
BBOB_F17,14,1,0.004182345408829397,0.6957653259535522,78.11909484863281,0.919,0.37514696875304
BBOB_F17,16,0,0.0002898427398525408,0.11318861931598749,1393750.0,0.993,0.026908421906094937
BBOB_F17,16,1,0.004125061803451205,0.6969362160849201,76.9744873046875,0.9165,0.3757810810972969
BBOB_F17,18,0,0.000269909097736768,0.11184938510440588,1348429.25,0.992,0.02613867034633541
BBOB_F17,18,1,0.004061361690175035,0.7026365632714702,75.85794067382812,0.913,0.3743686251016603
BBOB_F17,20,0,0.00025336007214214377,0.11137293322143246,1311068.75,0.99,0.0257688042971464
BBOB_F17,20,1,0.004001950155639322,0.7093738383603919,74.57402038574219,0.911,0.37294097738643317
BBOB_F17,22,0,0.00023506471072792914,0.11038623137825078,1278034.75,0.989,0.025445103194190858
BBOB_F17,22,1,0.003942062122208607,0.7143179817436267,73.60558319091797,0.909,0.3725667808944596
BBOB_F17,24,0,0.00022041787886015884,0.11024284442132049,1244487.0,0.989,0.025017027190218314
BBOB_F17,24,1,0.003845869398409213,0.7227446255333221,72.60066223144531,0.9065,0.3719843019755308
BBOB_F17,26,0,0.0002004722817350431,0.10979205524051536,1209461.75,0.9885,0.02472239988704138
BBOB_F17,26,1,0.0037997541978509355,0.7283960940187535,71.82247924804688,0.905,0.3709289011891945
BBOB_F17,28,0,0.0001831696922914721,0.10815706621176742,1179986.5,0.988,0.024289233420934826
BBOB_F17,28,1,0.0037652281312342,0.7354716522731878,71.01224517822266,0.9045,0.3702549102819382
BBOB_F17,30,0,0.00016720692037889355,0.10726377997541678,1150020.25,0.988,0.02394020468833455
