config,exp,problema,q,t_total,t_fit,t_busca,t_aval,t_sonda,cobertura,frac_aval
b4,main,DTLZ7,1,1746.920812,1648.9628511667252,44.32601908035576,0.272844,16.881292000000013,0.9791187983437231,0.00015618567145446542
b4,main,MMF1,1,53.957052,30.120878964662552,4.65158892609179,0.030361999999999986,2.771062999999999,0.6963666749390671,0.0005627067987331848
b4,main,MMF11_L,1,53.295741,28.571081817150116,11.406974013894796,0.031997000000000005,2.921508,0.8055345516454103,0.0006003669223775312
b4,main,MMF16_20,1,302.116616,249.4860339164734,28.433228137437254,0.20743499999999981,4.569600000000001,0.9357191299068125,0.0006866057310796829
b4,main,MMF4,1,50.820755,29.865451961755753,7.708307020366192,0.03507000000000001,2.959956,0.7982719851785347,0.0006900723926671301
b4,main,WFG1,1,861.332264,719.9972805976868,107.38968612998724,0.33305299999999977,8.038826,0.9703094620494489,0.0003866719196762839
b4,main,WFG2,1,1753.577579,1681.3333094120026,16.457093957811594,0.51649,17.626052000000005,0.9785326671137908,0.0002945350158357608
b4,main,WFG4,1,1185.503627,1075.1831814050674,73.13153016380966,0.3316079999999999,11.036513999999997,0.9782195576267747,0.0002797190935966659
b4,main,WFG5,1,1489.149624,1418.0901921987534,23.79497504234314,0.35520899999999983,14.860586999999992,0.9784785489366625,0.00023853143718753668
b4,main,WFG9,1,1913.158663,1842.0562123060226,13.001452973112464,1.437555999999998,17.92024999999998,0.9797490963660525,0.0007514044850549848
b4,main,ZDT1,1,3327.127472,3169.958361387253,86.5335767827928,0.35583000000000053,19.62558299999999,0.9847754192599344,0.00010694811154503325
b4,main,ZDT3,1,3168.091876,2950.574424982071,140.1492869965732,0.3423860000000002,19.452469000000008,0.981827134036893,0.0001080732546280486
b4,main,ZDT4,1,394.7073,358.58840268850327,6.083762986585498,0.147511,10.255901999999999,0.9502625836286503,0.00037372250272543734
b4,main,ZDT6,1,402.867068,365.5595054626465,7.89945700368844,0.15444399999999994,10.120647999999997,0.9525078740522294,0.00038336218635770926
c122,main,BBOB_F1,1,1044.8088,774.4182,178.7789,0.0205,52.8702,0.9629396306769238,1.9620814832340617e-05
c122,main,BBOB_F17,1,1788.4302,1531.939,165.2096,0.0657,52.716,0.9784727969813974,3.67361275827259e-05
c122,main,BBOB_F22,1,1170.9984,910.165,169.7247,0.0423,52.3886,0.9669702366800843,3.612302117577616e-05
c122,main,BBOB_F37,1,1553.9396,1222.2006,240.0982,0.0512,52.6195,0.9749217408450109,3.2948513571569966e-05
