label,exp,tier,dist,problema,bloco,obj,D,M,N,I_eff,wape,corr,cobertura95,n_sigma_valido,nan_share,mu_min,mu_max,f_min,f_max,mae,mae_ref
swap_big-lhs_MMF16_20,sweep-big-lhs,big,lhs,MMF16_20,1,2,20,3,50000,44,0.028972026373812732,0.9966181354884134,0.9965588437715073,2906,0.8547,1.000071733869845e-05,2.9767820835113525,6.847906862721302e-06,2.9999346982543798,0.048820437717903016,0.7242873017647019
swap_big-lhs_WFG9,sweep-big-lhs,big,lhs,WFG9,0,0,22,2,50000,6,0.22277483640181514,0.39347558237903907,1.0,105,0.99475,2.4202454794824803e-27,2.5465872287750244,0.3884963206064257,2.937960448168603,0.4454481633616444,0.5092529782277385
swap_big-lhs_WFG9,sweep-big-lhs,big,lhs,WFG9,0,1,22,2,50000,6,0.2278213985145139,0.3862187610189437,1.0,100,0.995,3.8103822790831083e-29,4.610740661621094,0.6491432496835363,4.950165885958182,0.7772338657010288,0.8969879067998335
swap_big-lhs_WFG9,sweep-big-lhs,big,lhs,WFG9,1,0,22,2,50000,6,0.22277483640181514,0.39347558237903907,1.0,105,0.99475,2.4202454794824803e-27,2.5465872287750244,0.3884963206064257,2.937960448168603,0.4454481633616444,0.5092529782277385
swap_big-lhs_WFG9,sweep-big-lhs,big,lhs,WFG9,1,1,22,2,50000,6,0.2278213985145139,0.3862187610189437,1.0,100,0.995,3.8103822790831083e-29,4.610740661621094,0.6491432496835363,4.950165885958182,0.7772338657010288,0.8969879067998335
swap_big-lhs_ZDT1,sweep-big-lhs,big,lhs,ZDT1,0,0,30,2,50000,18,0.003417008739987334,0.9999733084545908,1.0,2503,0.87485,4.112391980015673e-05,0.9960898756980896,4.035141319036484e-05,0.9999730018898845,0.0017085477483962676,0.25
swap_big-lhs_ZDT1,sweep-big-lhs,big,lhs,ZDT1,0,1,30,2,50000,18,0.07877566834524297,0.8205192193993032,0.9121756487025948,501,0.97495,2.9752748012542725,6.698399543762207,1.8511440573849824,6.695247145212829,0.3102192773495395,0.5570802670396395
swap_big-lhs_ZDT1,sweep-big-lhs,big,lhs,ZDT1,1,0,30,2,50000,18,0.003417008739987334,0.9999733084545908,1.0,2503,0.87485,4.112391980015673e-05,0.9960898756980896,4.035141319036484e-05,0.9999730018898845,0.0017085477483962676,0.25
swap_big-lhs_ZDT1,sweep-big-lhs,big,lhs,ZDT1,1,1,30,2,50000,18,0.07877566834524297,0.8205192193993032,0.9121756487025948,501,0.97495,2.9752748012542725,6.698399543762207,1.8511440573849824,6.695247145212829,0.3102192773495395,0.5570802670396395
swap_big-lhs_ZDT4,sweep-big-lhs,big,lhs,ZDT4,0,0,10,2,50000,50,0.0015864113934995977,0.9999938055454138,0.9187316813216094,3753,0.81235,5.65100208405056e-06,0.9980400800704956,3.6582350730895996e-06,0.9999888222664595,0.0007932056960110685,0.24999999990463256
swap_big-lhs_ZDT4,sweep-big-lhs,big,lhs,ZDT4,0,1,10,2,50000,50,0.12923699558019489,0.538560105051774,0.952,125,0.99375,86.40229034423828,197.5792999267578,54.00701544605971,280.8549843394163,20.347939123142698,24.164553728863215
