ger,n_sub,slots_mudou,novos,p_min,p_med,p_max,n_chamadas,n_nan,flag
335,4,1,1,0.0,0.04810025,0.511528,50,0,
336,18,13,13,0.0,0.02830475,0.714334,50,0,
337,10,10,10,0.0,0.0277125,0.751262,50,0,
338,7,7,7,0.0,0.04056475,0.86469,50,0,
339,18,10,10,0.0,0.041833499999999996,0.532765,50,0,
340,9,7,7,0.0,0.033499,0.615535,50,0,
341,4,4,4,0.0,0.035417000000000004,0.530896,50,0,
342,65,36,36,0.0,0.15439925000000002,0.952786,50,0,
343,48,35,35,0.0,0.11089474999999999,0.680903,50,0,
344,25,20,20,0.0,0.11045,0.896319,50,0,
345,38,28,27,0.0,0.09455175,0.673343,50,0,
346,45,25,25,0.0,0.078295,0.589426,50,0,
347,46,32,32,0.0,0.05963525,0.741879,50,0,
348,29,24,24,0.0,0.08466225,0.597395,50,0,
349,33,26,26,0.0,0.06224125,0.625642,50,0,
350,27,21,21,0.0,0.0837375,0.627464,50,0,
351,28,22,22,0.0,0.08881825,0.607345,50,0,
352,62,35,35,0.0,0.11404,0.982781,50,0,
353,26,19,19,0.0,0.080147,0.754102,50,0,
354,44,26,24,0.0,0.124669,0.959484,50,0,
355,23,17,17,0.0,0.10054199999999999,0.625534,50,0,
356,33,22,22,0.0,0.06510475,0.817147,50,0,
357,8,7,7,0.0,0.07665675,0.78919,50,0,
358,33,19,19,0.0,0.098191,0.699641,50,0,
359,15,12,12,0.0,0.0612,0.604902,50,0,
360,20,16,16,0.0,0.07247674999999999,0.541307,50,0,
361,18,15,15,0.0,0.08618675,0.667872,50,0,
362,18,16,16,0.0,0.061503,0.58755,50,0,
363,12,12,12,0.0,0.06354675,0.521893,50,0,
