alg,label,problema,tier,dist,n7,n7_nd,fantasia,igdp7,hv7,igdp7nd,hv7nd
b5m,BBOB_F37,BBOB_F37,main,lhs,50,9,0.18,0.24136246529028876,0.5709400650881025,0.24136246529028876,0.5709400650881025
b5m,BBOB_F49,BBOB_F49,main,lhs,50,15,0.3,0.6222845835110263,0.3224566530872475,0.6222845835110263,0.3224566530872475
b5m,BBOB_F5,BBOB_F5,main,lhs,50,21,0.42,0.14347313886886406,0.6324349667078573,0.14347313886886406,0.6324349667078573
b5m,BBOB_F55,BBOB_F55,main,lhs,50,9,0.18,1.0035095724263108,0.00499472320390789,1.0035095724263108,0.00499472320390789
b5m,DTLZ1,DTLZ1,main,lhs,105,4,0.0380952380952381,109.89521037688905,0.0,109.89521037688905,0.0
b5m,DTLZ2,DTLZ2,main,lhs,105,83,0.7904761904761904,0.05688964973092999,0.6660228277889934,0.05688964973092999,0.6660228277889934
b5m,DTLZ3,DTLZ3,main,lhs,105,26,0.24761904761904763,542.2827088104782,0.0,542.2827088104782,0.0
b5m,DTLZ4,DTLZ4,main,lhs,105,12,0.11428571428571428,0.6002944993592286,0.11426831221580518,0.6002944993592286,0.11426831221580518
b5m,DTLZ7,DTLZ7,main,lhs,105,28,0.26666666666666666,0.9379250505048345,0.0,0.9379250505048345,0.0
b5m,MMF1,MMF1,main,lhs,50,19,0.38,0.12748631318490322,0.6634417303195435,0.12748631318490322,0.6634417303195435
b5m,MMF11_L,MMF11_L,main,lhs,50,32,0.64,0.028584880317859104,0.9916099570124798,0.028584880317859104,0.9916099570124798
